,ELLIP,PHIE,GAMMA,PHIG,ellipticity_true,e2_mass,e1_light,e2_light,gamma1,gamma2
3,0.2816117,91.63868,0.04949279,-28.94337,0.3063432,0.009369017458028315,-0.305842171000175,-0.017513498340983907,0.01141447418165972,-0.048158551069777046
4,0.162288,-129.3107,0.02303224,113.0656,0.17174058,-0.08657407592664779,-0.033882904235215845,0.16836500711051453,0.022985862016748973,-0.0014608992999439862
5,0.07348919,148.7687,0.03216037,67.83229,0.08320639,0.03382464464157026,0.03846860343164411,-0.07377987453805403,-0.02696955160835968,-0.017519494415676608
7,0.3405463,-136.3464,0.03353729,-39.73777,0.32926175,-0.20498930716051797,0.01546902195560613,0.32889817477875966,-0.01989552825887929,0.02699847728751078
9,0.4613552,-16.85168,0.05666409,55.53548,0.47727397,0.1663820461404532,0.3970545166104934,-0.26483608756883636,-0.024931208830626286,-0.050884712063367345
10,0.4161564,157.8133,0.02530418,-34.17097,0.4182752,0.18375002861120543,0.29898203658489186,-0.29251305053722026,0.018111475345382422,0.017671332329114425
11,0.1821093,136.1814,0.08975024,-83.19053,0.13733573,0.10009098571983648,0.00566193354589921,-0.13721896823382224,-0.089068313282422,-0.011042696639948496
12,0.407818,62.93353,0.09396976,168.9541,0.39331135,-0.20756859927996704,-0.23044369915845733,0.31873110854917974,0.01746916207587964,-0.09233170728858126
16,0.5364811,151.6634,0.07507069,-130.7904,0.48948467,0.30628714998543566,0.268929586254681,-0.4089891438680188,-0.05074035557695106,0.05532652901638301
18,0.4026993,-117.8411,0.05856892,88.85828,0.39523837,-0.20822546960939653,-0.22282854136916733,0.3264365332978926,-0.012585639265625287,0.057200699945384854
21,0.1042036,-109.3782,0.07199334,-86.08752,0.09366322,-0.03440905168117052,-0.07303994287088872,0.05863416688404235,-0.05890359176957718,-0.04139333135903175
22,0.147829,-75.48472,0.03844357,-137.5556,0.15667692,0.03873177644868512,-0.13699218822343107,-0.07603155678034249,0.008458648209575313,0.03750145790248092
23,0.3938172,-31.40579,0.02326229,-138.8069,0.38922498,0.21809711876204832,0.1778439611260019,-0.3462190210647207,0.009424864585164453,-0.0212674884176626
24,0.2156415,100.8289,0.05097542,-133.269,0.21657029,0.04460154904071551,-0.20128143429256284,-0.07992793453988893,-0.04479912413555509,-0.024321429252071626
25,0.01983679,48.5889,0.0334452,-105.0797,0.050861273,-0.009939247797066467,-0.0063550558586012865,0.050462682808334554,-0.03166963800264211,-0.010752461663340493
27,0.3156743,64.17694,0.05244845,-26.39467,0.34440503,-0.14697254663310316,-0.21370908931959415,0.27008008040485065,-0.042755575113980725,-0.030377634932220315
31,0.2142355,121.5832,0.04909736,161.1342,0.16119874,0.10705044845810853,-0.07276525676517408,-0.1438410622370605,-0.012391852811951662,0.04750781770252687
35,0.3495147,-22.76541,0.109704,168.8809,0.2929572,0.1511211623455301,0.20522398843056353,-0.20906227685666284,0.004451634138414699,-0.10961364225997465
38,0.331755,-79.83294,0.05508746,115.4376,0.33114576,0.06910430307017784,-0.31050947347964525,-0.11507120076444449,-0.0017547917101570522,-0.05505950376915473
44,0.2321808,-64.772,0.05190619,-134.3704,0.24346443,0.10127899176595849,-0.15500664419123747,-0.18774415818287396,0.006966942430062778,0.05143650720541093
47,0.4840605,-48.08993,0.03287599,-19.99786,0.45508155,0.3174582885711131,-0.04898948140175916,-0.4524370098283177,-0.02182120423456305,-0.024589952505720457
48,0.5943185,-124.907,0.0351053,-103.3932,0.48422208,-0.3968280815353448,-0.1670899667432273,0.45447988489401114,0.029767079711985008,0.018609219583591633
53,0.5101913,42.46428,0.06534059,-145.8851,0.390094,-0.34111361402336055,0.034483448741866186,0.38856688047087473,-0.06023554521456212,-0.025319395613887453
54,0.09541145,76.94339,0.06247884,-75.78483,0.07222274,-0.022049383128308456,-0.06485067918475809,0.03178857628745231,0.044714265495507735,-0.04363759742404303
55,0.1442349,0.227859,0.061347,-57.41763,0.1184713,-0.000618181958287829,0.11846755261797329,0.0009422846691536529,-0.010205146927403232,-0.06049222582439922
57,0.2234625,62.66535,0.05439871,161.1239,0.20739783,-0.10261924129326086,-0.11993709513520918,0.16920092523162125,-0.01264270927663861,0.05290918211246982
61,0.2511473,37.75023,0.08674918,-128.0919,0.25482345,-0.13903296185302075,0.06380071575360242,0.24670723406343495,0.012448645892259209,0.08585133339745829
63,0.2501164,-98.20956,0.02242169,-141.9639,0.24362451,-0.040401712732050274,-0.23368942983819072,0.0688632866964788,0.008448407958460922,-0.020769125774175334
66,0.5530586,-100.9869,0.04806673,-75.1776,0.4902199,-0.14302230285697567,-0.4546079029768856,0.18343174454539912,0.04346288198848524,0.0205277476150674
67,0.3237424,-75.81806,0.05116272,-175.6099,0.29972515,0.09175210519788127,-0.26374261753711514,-0.14239029895745536,0.04108083149408059,0.0304957243159325
68,0.7247203,-55.00804,0.0469614,-126.3434,0.62513524,0.5339571601967608,-0.21397369896476276,-0.5873749436613676,0.009854256225888647,-0.045915865713220906
69,0.2470969,-171.3275,0.04204292,96.71945,0.2512047,-0.042024956624741476,0.23978165545716518,0.07489031318075322,0.0096237992832016,-0.04092663691879713
71,0.2804664,-135.9166,0.09627095,17.47412,0.28522795,-0.16302260970526347,0.009124418492462323,0.2850819679467239,-0.0890154682691402,-0.03666527270767523
72,0.3672131,-111.7521,0.05743803,148.0521,0.31666893,-0.15482261811345638,-0.22968754649503245,0.21799734450776523,0.04024386060223136,0.04098242274572198
73,0.4050379,-125.6792,0.046235,-79.66021,0.38847125,-0.24062529483278494,-0.12417380911981464,0.3680907187165121,-0.02871096072176651,-0.036240253302552684
75,0.3087804,-18.34916,0.07260902,-164.8256,0.31666893,0.10910923255971003,0.2539029843333481,-0.18924187109084653,-0.07092132661493761,-0.015563907495797549
76,0.1287831,-155.5475,0.1014012,-92.40017,0.115366206,-0.051866577954438275,0.07583130116148214,0.08694236741077987,-0.08625422970593175,-0.05331426843984977
77,0.4542862,-148.8792,0.0507363,54.83452,0.4241046,-0.2600783248282064,0.1975242836345208,0.37529837345214984,-0.04866531959298582,0.014347780546222138
83,0.3875998,1.897287,0.05791444,-51.7739,0.3977133,-0.015908658915678005,0.39684140906472776,0.026320430247457588,-0.05746432104725061,-0.007206536414402585
84,0.09864519,-123.6652,0.07421567,129.6939,0.058545426,-0.04787330057019552,-0.022564373629741404,0.05402236525938965,-0.015210026226609483,0.07264035225502938
88,0.5579514,37.43662,0.03363725,129.3107,0.57943577,-0.37350950731565724,0.15120689563199016,0.5593588171011782,0.0178674696927464,0.02849944059698872
90,0.1653371,-39.26822,0.0890082,-147.0282,0.15856175,0.08832077024035545,0.03151330172788597,-0.15539864985665006,0.02778658309233863,0.08455983365222852
93,0.289144,-56.47196,0.08931714,-56.46725,0.27998492,0.1556349032811341,-0.10914651272240694,-0.257834431734677,0.0881356139107169,0.01447981554995247
94,0.6315764,12.96885,0.04488549,-45.07945,0.5685837,-0.20187277598427797,0.5113103625007707,0.24869486746818986,-0.0262080890915237,-0.03643958395359168
95,0.2759823,177.0589,0.03647024,-70.77799,0.26407972,0.016405652039673316,0.2626892619822205,-0.027063816333154928,-0.035852537414262704,0.006683858662216997
96,0.09543872,-45.30485,0.1224272,-143.8945,0.08494602,0.050107768897372215,-0.0009039166826670078,-0.08494121054277008,0.04005045768821669,0.11569088183087016
97,0.4219079,161.6407,0.05615134,49.14682,0.42292848,0.1598465465025165,0.33901168523368225,-0.25286276212627495,-0.03471619950898703,-0.04413341676607204
98,0.6555045,-122.7621,0.0344366,-128.853,0.5130744,-0.44373407632432765,-0.21257127264674738,0.46696765838835386,0.03428000442039554,-0.0032803531056369603
99,0.4824361,-99.98732,0.02699744,-95.44773,0.29577544,-0.10859654204610661,-0.2779827466475644,0.10103812881021512,-0.01990593322406992,-0.01823775175377901
100,0.2410574,167.6309,0.05351255,45.47061,0.23552278,0.05735033107865037,0.21390870776219664,-0.09855985309666165,-0.052786051991488434,0.008787816717159043
101,0.2149478,-153.3863,0.03722008,-48.84687,0.19909,-0.09645488347981175,0.11918335787127433,0.1594746227665322,-0.03550931952967026,0.011154487067820679
102,0.626696,-27.72455,0.03657388,139.4998,0.511175,0.37585344642594537,0.2899068409836338,-0.4210153253456341,-0.030141335352526156,0.02071590213871839
104,0.1601934,116.5035,0.07900987,-158.0736,0.15801236,0.06954422006764317,-0.09507879384205528,-0.12620589873024776,-0.03201051804546922,-0.07223493816621973
106,0.3160922,-154.4268,0.06241455,-160.7679,0.32576317,-0.14618214571917298,0.20436185804688625,0.2536885371948706,0.02868030765046996,-0.05543479056311924
107,0.1642288,103.1723,0.0859576,-59.08522,0.16129868,0.03969973675121807,-0.1445464030951146,-0.07157933725599214,0.030338199251602672,0.08042575870907315
109,0.1383089,78.70923,0.02065924,64.58894,0.10812324,-0.02852799855997225,-0.09983386200092764,0.041519092307965105,-0.01924182685617207,-0.007520392051927557
110,0.03235026,-134.8307,0.09751182,-100.0764,0.034804374,-0.016440779289986034,-0.00020568168442366226,0.0348037662412643,0.059914433263935925,0.07693383992999289
111,0.4247697,-45.1336,0.03502809,-38.60705,0.4342678,0.26965268568931255,-0.0020252091261414814,-0.4342630776900512,-0.008499002872118296,-0.03398137783003839
113,0.06054864,-122.386,0.02491733,-116.3669,0.06384595,-0.028241719999292373,-0.027212511637493636,0.05775625110567487,0.02410564392529983,-0.006308031806796431
114,0.532211,15.88655,0.03061939,41.94732,0.4827667,-0.19092613283857787,0.4104192831424505,0.25420404924730633,-0.018345500835716542,0.024515090109131225
